Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,Mainland China,1/22/20,1,,
Beijing,Mainland China,1/22/20,14,,
Chongqing,Mainland China,1/22/20,6,,
Fujian,Mainland China,1/22/20,1,,
Gansu,Mainland China,1/22/20,,,
Guangdong,Mainland China,1/22/20,26,,
Guangxi,Mainland China,1/22/20,2,,
Guizhou,Mainland China,1/22/20,1,,
Hainan,Mainland China,1/22/20,4,,
Hebei,Mainland China,1/22/20,1,,
Heilongjiang,Mainland China,1/22/20,,,
Henan,Mainland China,1/22/20,5,,
Hong Kong,Hong Kong,1/22/20,,,
Hubei,Mainland China,1/22/20,444,17,28
Hunan,Mainland China,1/22/20,4,,
Inner Mongolia,Mainland China,1/22/20,,,
Jiangsu,Mainland China,1/22/20,1,,
Jiangxi,Mainland China,1/22/20,2,,
Jilin,Mainland China,1/22/20,,,
Liaoning,Mainland China,1/22/20,2,,
Macau,Macau,1/22/20,1,,
Ningxia,Mainland China,1/22/20,1,,
Qinghai,Mainland China,1/22/20,,,
Shaanxi,Mainland China,1/22/20,,,
Shandong,Mainland China,1/22/20,2,,
Shanghai,Mainland China,1/22/20,9,,
Shanxi,Mainland China,1/22/20,1,,
Sichuan,Mainland China,1/22/20,5,,
Taiwan,Taiwan,1/22/20,1,,
Tianjin,Mainland China,1/22/20,4,,
Tibet,Mainland China,1/22/20,,,
Washington,US,1/22/20,1,,
Xinjiang,Mainland China,1/22/20,,,
Yunnan,Mainland China,1/22/20,1,,
Zhejiang,Mainland China,1/22/20,10,,
,Japan,1/22/20,2,,
,Thailand,1/22/20,2,,
,South Korea,1/22/20,1,,
Anhui,Mainland China,1/23/20,9,,
Beijing,Mainland China,1/23/20,22,,
Chongqing,Mainland China,1/23/20,9,,
Fujian,Mainland China,1/23/20,5,,
Gansu,Mainland China,1/23/20,2,,
Guangdong,Mainland China,1/23/20,32,,2
Guangxi,Mainland China,1/23/20,5,,
Guizhou,Mainland China,1/23/20,3,,
Hainan,Mainland China,1/23/20,5,,
Hebei,Mainland China,1/23/20,1,1,
Heilongjiang,Mainland China,1/23/20,2,,
Henan,Mainland China,1/23/20,5,,
Hong Kong,Hong Kong,1/23/20,2,,
Hubei,Mainland China,1/23/20,444,17,28
Hunan,Mainland China,1/23/20,9,,
Inner Mongolia,Mainland China,1/23/20,,,
Jiangsu,Mainland China,1/23/20,5,,
Jiangxi,Mainland China,1/23/20,7,,
Jilin,Mainland China,1/23/20,1,,
Liaoning,Mainland China,1/23/20,3,,
Macau,Macau,1/23/20,2,,
Ningxia,Mainland China,1/23/20,1,,
Qinghai,Mainland China,1/23/20,,,
Shaanxi,Mainland China,1/23/20,3,,
Shandong,Mainland China,1/23/20,6,,
Shanghai,Mainland China,1/23/20,16,,
Shanxi,Mainland China,1/23/20,1,,
