date,region,min,max
18/02/2020,"American Samoa, US",2.5,18
19/02/2020,"American Samoa, US",5,11
20/02/2020,"American Samoa, US",2,15
21/02/2020,"American Samoa, US",2,18.5
22/02/2020,"American Samoa, US",7,19
23/02/2020,"American Samoa, US",8,19
24/02/2020,"American Samoa, US",10,23
25/02/2020,"American Samoa, US",2.5,18
25/02/2020,"American Samoa, US",8,22
26/02/2020,"American Samoa, US",5,11
26/02/2020,"American Samoa, US",9,25
18/02/2020,"Guam, US",12,25
19/02/2020,"Guam, US",13,27
20/02/2020,"Guam, US",15,28
21/02/2020,"Guam, US",13.8,29
22/02/2020,"Guam, US",13.7,28
23/02/2020,"Guam, US",14,26
24/02/2020,"Guam, US",9,27
25/02/2020,"Guam, US",12,25
25/02/2020,"Guam, US",16,28
26/02/2020,"Guam, US",13,27
26/02/2020,"Guam, US",9,29
18/02/2020,"Northern Mariana Islands, US",4.4,13.6
19/02/2020,"Northern Mariana Islands, US",4.3,12.4
20/02/2020,"Northern Mariana Islands, US",5.5,13.3
21/02/2020,"Northern Mariana Islands, US",7.1,14.2
22/02/2020,"Northern Mariana Islands, US",7.4,18.5
23/02/2020,"Northern Mariana Islands, US",7.8,16.3
24/02/2020,"Northern Mariana Islands, US",4.4,15.6
25/02/2020,"Northern Mariana Islands, US",4.4,13.6
25/02/2020,"Northern Mariana Islands, US",6.3,13.5
26/02/2020,"Northern Mariana Islands, US",4.3,12.4
26/02/2020,"Northern Mariana Islands, US",7.9,10.1
22/01/2020,"Puerto Rico, US",20.8,29.4
23/01/2020,"Puerto Rico, US",23.5,41.6
24/01/2020,"Puerto Rico, US",22.9,30.4
25/01/2020,"Puerto Rico, US",23.6,27.9
26/01/2020,"Puerto Rico, US",24.8,33.6
27/01/2020,"Puerto Rico, US",22.7,27.4
28/01/2020,"Puerto Rico, US",23.3,28.3
29/01/2020,"Puerto Rico, US",23.3,26.4
30/01/2020,"Puerto Rico, US",20.7,27.1
31/01/2020,"Puerto Rico, US",23.6,28.4
01/02/2020,"Puerto Rico, US",24,31.3
02/02/2020,"Puerto Rico, US",24,27.4
03/02/2020,"Puerto Rico, US",20.5,28.6
04/02/2020,"Puerto Rico, US",18.6,22.2
05/02/2020,"Puerto Rico, US",18.7,25.7
06/02/2020,"Puerto Rico, US",20.6,24.3
07/02/2020,"Puerto Rico, US",19.2,22
08/02/2020,"Puerto Rico, US",19.6,22.6
09/02/2020,"Puerto Rico, US",19.6,22
10/02/2020,"Puerto Rico, US",20.9,26.9
11/02/2020,"Puerto Rico, US",21.2,29.6
12/02/2020,"Puerto Rico, US",21.9,25.7
13/02/2020,"Puerto Rico, US",21.8,26
14/02/2020,"Puerto Rico, US",21.3,25.3
15/02/2020,"Puerto Rico, US",19.8,25.6
